nan;X;Y;X;Y;Puestos equivalentes;nan;100.0
Calle 1;0;0;1;0;26;nan;nan
Calle 2;1;0;2;0;26;nan;nan
Calle 3;2;0;3;0;26;nan;nan
Calle 4;3;0;4;0;26;nan;nan
Calle 5;4;0;5;0;26;nan;nan
Calle 6;5;0;6;0;26;nan;nan
Calle 7;6;0;7;0;26;nan;nan
Calle 8;7;0;8;0;26;nan;nan
Calle 9;8;0;9;0;26;nan;nan
Calle 10;9;0;10;0;26;nan;nan
Calle 11;10;0;11;0;26;nan;nan
Calle 12;11;0;12;0;26;nan;nan
Calle 13;12;0;13;0;26;nan;nan
Calle 14;13;0;14;0;26;nan;nan
Calle 15;14;0;15;0;26;nan;nan
Calle 16;15;0;16;0;26;nan;nan
Calle 17;16;0;17;0;26;nan;nan
Calle 18;17;0;18;0;26;nan;nan
Calle 19;18;0;19;0;26;nan;nan
Calle 20;19;0;20;0;26;nan;nan
Calle 21;20;0;21;0;26;nan;nan
Calle 22;21;0;22;0;26;nan;nan
Calle 23;22;0;23;0;26;nan;nan
Calle 24;23;0;24;0;26;nan;nan
Calle 25;24;0;25;0;26;nan;nan
Calle 26;25;0;26;0;26;nan;nan
Calle 27;26;0;27;0;26;nan;nan
Calle 28;27;0;28;0;26;nan;nan
Calle 29;28;0;29;0;26;nan;nan
Calle 30;29;0;30;0;26;nan;nan
Calle 31;30;0;31;0;26;nan;nan
Calle 32;31;0;32;0;26;nan;nan
Calle 33;32;0;33;0;26;nan;nan
Calle 34;33;0;34;0;26;nan;nan
Calle 35;34;0;35;0;26;nan;nan
Calle 36;35;0;36;0;26;nan;nan
Calle 37;36;0;37;0;26;nan;nan
Calle 38;37;0;38;0;26;nan;nan
Calle 39;38;0;39;0;26;nan;nan
Calle 40;39;0;40;0;26;nan;nan
Calle 41;40;0;41;0;26;nan;nan
Calle 42;41;0;42;0;26;nan;nan
Calle 43;42;0;43;0;26;nan;nan
Calle 44;43;0;44;0;26;nan;nan
Calle 45;44;0;45;0;26;nan;nan
Calle 46;45;0;46;0;26;nan;nan
Calle 47;46;0;47;0;26;nan;nan
Calle 48;47;0;48;0;26;nan;nan
Calle 49;48;0;49;0;26;nan;nan
Calle 50;49;0;50;0;26;nan;nan
Calle 51;0;1;1;1;26;nan;nan
Calle 52;1;1;2;1;26;nan;nan
Calle 53;2;1;3;1;26;nan;nan
Calle 54;3;1;4;1;26;nan;nan
Calle 55;4;1;5;1;26;nan;nan
Calle 56;5;1;6;1;26;nan;nan
Calle 57;6;1;7;1;26;nan;nan
Calle 58;7;1;8;1;26;nan;nan
Calle 59;8;1;9;1;26;nan;nan
Calle 60;9;1;10;1;26;nan;nan
Calle 61;10;1;11;1;26;nan;nan
Calle 62;11;1;12;1;26;nan;nan
Calle 63;12;1;13;1;26;nan;nan
Calle 64;13;1;14;1;26;nan;nan
Calle 65;14;1;15;1;26;nan;nan
Calle 66;15;1;16;1;26;nan;nan
Calle 67;16;1;17;1;26;nan;nan
Calle 68;17;1;18;1;26;nan;nan
Calle 69;18;1;19;1;26;nan;nan
Calle 70;19;1;20;1;26;nan;nan
Calle 71;20;1;21;1;26;nan;nan
Calle 72;21;1;22;1;26;nan;nan
Calle 73;22;1;23;1;26;nan;nan
Calle 74;23;1;24;1;26;nan;nan
Calle 75;24;1;25;1;26;nan;nan
Calle 76;25;1;26;1;26;nan;nan
Calle 77;26;1;27;1;26;nan;nan
Calle 78;27;1;28;1;26;nan;nan
Calle 79;28;1;29;1;26;nan;nan
Calle 80;29;1;30;1;26;nan;nan
Calle 81;30;1;31;1;26;nan;nan
Calle 82;31;1;32;1;26;nan;nan
Calle 83;32;1;33;1;26;nan;nan
Calle 84;33;1;34;1;26;nan;nan
Calle 85;34;1;35;1;26;nan;nan
Calle 86;35;1;36;1;26;nan;nan
Calle 87;36;1;37;1;26;nan;nan
Calle 88;37;1;38;1;26;nan;nan
Calle 89;38;1;39;1;26;nan;nan
Calle 90;39;1;40;1;26;nan;nan
Calle 91;40;1;41;1;26;nan;nan
Calle 92;41;1;42;1;26;nan;nan
Calle 93;42;1;43;1;26;nan;nan
Calle 94;43;1;44;1;26;nan;nan
Calle 95;44;1;45;1;26;nan;nan
Calle 96;45;1;46;1;26;nan;nan
Calle 97;46;1;47;1;26;nan;nan
Calle 98;47;1;48;1;26;nan;nan
Calle 99;48;1;49;1;26;nan;nan
Calle 100;49;1;50;1;26;nan;nan
Calle 101;0;2;1;2;26;nan;nan
Calle 102;1;2;2;2;26;nan;nan
Calle 103;2;2;3;2;26;nan;nan
Calle 104;3;2;4;2;26;nan;nan
Calle 105;4;2;5;2;26;nan;nan
Calle 106;5;2;6;2;26;nan;nan
Calle 107;6;2;7;2;26;nan;nan
Calle 108;7;2;8;2;26;nan;nan
Calle 109;8;2;9;2;26;nan;nan
Calle 110;9;2;10;2;26;nan;nan
Calle 111;10;2;11;2;26;nan;nan
Calle 112;11;2;12;2;26;nan;nan
Calle 113;12;2;13;2;26;nan;nan
Calle 114;13;2;14;2;26;nan;nan
Calle 115;14;2;15;2;26;nan;nan
Calle 116;15;2;16;2;26;nan;nan
Calle 117;16;2;17;2;26;nan;nan
Calle 118;17;2;18;2;26;nan;nan
Calle 119;18;2;19;2;26;nan;nan
Calle 120;19;2;20;2;26;nan;nan
Calle 121;20;2;21;2;26;nan;nan
Calle 122;21;2;22;2;26;nan;nan
Calle 123;22;2;23;2;26;nan;nan
Calle 124;23;2;24;2;26;nan;nan
Calle 125;24;2;25;2;26;nan;nan
Calle 126;25;2;26;2;26;nan;nan
Calle 127;26;2;27;2;26;nan;nan
Calle 128;27;2;28;2;26;nan;nan
Calle 129;28;2;29;2;26;nan;nan
Calle 130;29;2;30;2;26;nan;nan
Calle 131;30;2;31;2;26;nan;nan
Calle 132;31;2;32;2;26;nan;nan
Calle 133;32;2;33;2;26;nan;nan
