Calle 1;131364;171327;137552;81910;35706;191605;27888;67698;82584;36893
Calle 2;145251;158212;134490;87233;36373;206615;26930;61620;82099;37752
Calle 3;158101;169367;136150;69496;37390;201316;27190;66546;78951;39545
Calle 4;146518;154323;122568;76960;37572;199081;28777;66467;79196;37316
Calle 5;142802;172103;131667;75093;33571;209497;27173;69146;76911;34214
Calle 6;136681;175592;135781;77216;36880;201695;31081;67965;77443;35566
Calle 7;137378;171989;135988;82005;32774;204377;28822;61827;75711;35274
Calle 8;145326;180386;145232;80561;35582;216729;30476;63403;76714;30370
Calle 9;144018;173295;135886;74844;37863;199149;26822;69051;81163;37046
Calle 10;145553;166383;147109;86557;35591;201618;27220;66592;78211;36161
Calle 11;147540;184135;134097;81913;37610;202248;30316;62866;80151;37781
Calle 12;149219;173279;140630;73063;37419;214753;28053;66530;82389;35872
Calle 13;141823;171529;127721;84097;35385;197434;28456;68513;76437;35904
Calle 14;144453;167217;148056;83670;35760;209323;28474;64213;70312;36848
Calle 15;146113;169302;138973;80649;35086;202909;26686;67020;77184;35226
Calle 16;140810;171574;134706;80959;35194;205745;28233;65963;78843;34638
Calle 17;143958;168911;135830;84931;36700;207185;25813;67681;76457;37790
Calle 18;150897;168113;136270;81549;35711;213694;28118;66116;78210;36341
Calle 19;149976;180033;149974;76820;33488;215201;33920;62461;78131;36519
Calle 20;156092;164864;140719;84410;37374;207130;27052;68562;81304;37030
Calle 21;145874;175497;142403;76954;38233;206082;28498;61103;76970;36276
Calle 22;139067;171885;142751;72960;35559;203807;28552;61182;74847;35519
Calle 23;145662;175052;136222;78089;35881;208908;27138;65585;73056;36132
Calle 24;141718;164599;136755;77138;33718;196244;28056;66986;79486;36413
Calle 25;144260;168974;175066;79517;35913;214199;26731;66499;82759;35052
Calle 26;142039;176015;134903;87198;34096;221197;27668;63856;74998;35952
Calle 27;141159;164800;136806;96029;36171;204566;27083;66798;83127;35938
Calle 28;149136;178336;140987;84513;36737;207689;27797;64972;76713;34914
Calle 29;144393;165392;139942;75440;35828;195789;27642;67004;77821;36009
Calle 30;149252;162315;138365;81121;35283;212076;29026;66527;78455;34780
Calle 31;139851;163557;147987;78049;37553;205376;28192;62552;78802;37013
Calle 32;148658;175145;142349;79499;37120;203695;31617;62439;80338;37681
Calle 33;130835;168027;138221;89224;34201;197041;27153;63679;80267;35373
Calle 34;142294;174080;136696;79278;37444;212234;28060;63359;81411;36771
Calle 35;145443;166084;144371;72917;34533;204297;27235;62354;76349;36696
Calle 36;144617;177928;150213;80259;35311;202945;28903;68354;81508;36156
Calle 37;147353;166075;135343;82716;20430;205350;27435;64822;79022;35265
Calle 38;156082;158961;141754;78221;33640;196743;28827;62086;80630;38862
Calle 39;139393;167934;137652;78534;44035;196545;29215;64928;74897;36435
Calle 40;153233;165878;139492;75095;38199;206884;29166;64212;77368;37860
Calle 41;143322;173344;142534;74954;36636;195900;28118;61315;79630;37496
Calle 42;127529;167226;136926;79185;33254;206103;28178;64349;81929;35610
Calle 43;154317;157977;138104;80482;35564;184925;28341;65275;78409;34691
Calle 44;144128;163027;152621;76887;36759;216274;28066;67928;77550;34360
Calle 45;150485;171353;141121;86665;36867;208975;29040;69492;77338;36534
Calle 46;153767;173580;156181;79577;35881;202274;26790;63042;83357;34498
Calle 47;150629;170922;140987;78107;36172;199242;29145;73203;78822;36071
Calle 48;144253;165549;135016;79019;35411;205787;28867;65819;75878;36408
Calle 49;144209;174578;137277;76399;34849;192513;31347;68514;76251;36679
Calle 50;150504;181242;140741;80037;35280;200417;27043;70495;77236;37524
Calle 51;135980;174406;140035;75498;36622;195301;29341;64406;83460;34183
Calle 52;151511;169581;137274;84964;34985;206717;27995;69144;76874;37849
Calle 53;157876;163887;131320;86308;35679;200148;28251;67714;78607;36580
Calle 54;136023;159122;142200;77812;34284;188245;28754;68809;74814;37688
