Día;Calle;Verdulería;Carnicería;Frutería;Pescadería;Huevería;Abarrotes;Florería;Ropa;Mascotería;Bazar
1;Calle 1;18821;23166;19673;12099;5088;24736;4059;9257;13988;5565
1;Calle 2;21028;21783;18696;12338;5076;28546;4068;8667;11546;6046
1;Calle 3;24157;23221;19619;10412;5559;28225;3550;8830;11458;5282
1;Calle 4;23268;21636;16159;10693;5481;27044;4400;10120;11284;4491
1;Calle 5;21864;23654;18641;9252;4140;29885;3933;9120;10532;5889
1;Calle 6;21244;25430;19146;10174;5191;26203;4648;9653;11070;5534
1;Calle 7;22013;23620;19776;11635;6694;30174;3829;8623;11189;6209
1;Calle 8;18371;24285;20438;10642;5046;31216;4058;10051;11320;4567
1;Calle 9;20117;26169;19226;11710;5442;28173;3511;9924;12468;4473
1;Calle 10;20955;24559;20891;11477;4970;29213;4030;9146;10487;5233
1;Calle 11;22744;23733;19540;13689;5566;28614;4589;8370;11573;5694
1;Calle 12;21336;24999;19733;9909;6100;32714;3758;8999;12873;5400
1;Calle 13;19979;23550;16934;11776;5095;28700;3445;9244;10320;5287
1;Calle 14;20974;24623;20121;11882;5049;30048;3983;8829;10490;5680
1;Calle 15;20391;27071;20327;12389;4675;29757;3963;9742;10887;4871
1;Calle 16;21442;25745;19593;10785;4960;27973;4252;8425;11476;4740
1;Calle 17;20450;22563;19172;12659;6067;28937;3885;9899;9494;5359
1;Calle 18;20566;23528;17909;11890;5134;31214;4330;9598;11790;4749
1;Calle 19;21604;23759;20915;10342;4640;31275;4578;9436;11141;5169
1;Calle 20;19377;22728;20293;12541;5785;30683;4187;9724;12609;5333
1;Calle 21;20261;24882;20456;11401;5694;29008;4156;7878;10751;5321
1;Calle 22;19079;23512;20486;10625;5211;29474;3878;7656;10283;5022
1;Calle 23;19710;26449;17831;11128;5501;30467;4304;8782;11752;5146
1;Calle 24;20543;25714;20298;10487;4723;28928;4195;8803;11652;4878
1;Calle 25;20099;24321;25784;11332;5182;26439;3697;9600;11910;5124
1;Calle 26;20694;25836;17732;11524;5267;30241;3201;10396;10883;4731
1;Calle 27;16567;26284;22518;12597;5557;30955;4064;9286;12618;5166
1;Calle 28;22162;24258;19242;12424;5250;29375;3692;9038;12076;6223
1;Calle 29;19769;23409;20495;10705;5020;27223;3651;9354;10936;4790
1;Calle 30;21296;22347;19518;10875;4735;32512;4200;9456;12004;5215
1;Calle 31;18678;22762;20510;10861;5535;27225;4082;9893;10953;4778
1;Calle 32;22001;24169;23247;12597;5261;29723;4315;8425;11721;5566
1;Calle 33;18657;23950;16647;12474;4976;32682;3993;9684;10937;5148
1;Calle 34;19950;14987;19446;11782;5158;33436;4124;9091;11064;5305
1;Calle 35;22782;24905;21740;10899;4405;28658;4305;9863;10881;4871
1;Calle 36;19275;25316;21466;11249;4695;24939;4154;9898;10705;5080
1;Calle 37;21869;22388;20363;11857;2845;29274;3877;9807;11368;5211
1;Calle 38;25108;20523;18107;11201;4398;28303;3930;8750;9376;5230
1;Calle 39;23667;23399;19290;11011;6430;29285;4091;10108;8359;5283
1;Calle 40;21683;23119;20701;10129;4614;29478;3812;9202;10802;5452
1;Calle 41;21746;25121;21825;8235;4632;24895;4037;9177;11921;5557
1;Calle 42;10987;27172;22188;11066;4791;31317;4224;8728;11650;4905
1;Calle 43;21250;19885;19406;12336;5242;26627;4780;10037;11855;4705
1;Calle 44;20150;22063;24149;11568;5129;30985;4229;9390;11159;5253
1;Calle 45;22678;21933;20371;13500;4943;29835;4440;10187;10152;5187
1;Calle 46;22454;23021;15841;12500;5182;28041;3910;9507;12689;4597
1;Calle 47;20536;23475;21046;11464;4944;29069;4229;10452;10803;4820
1;Calle 48;18138;22834;22121;11735;5116;28742;5189;9945;11079;5090
1;Calle 49;20903;26280;20099;10647;4939;25213;4428;10244;10851;5307
1;Calle 50;23254;22746;20519;11385;5017;30427;3998;9842;10570;5215
1;Calle 51;18206;24910;20183;10286;5282;27386;4144;10296;11630;4783
1;Calle 52;19819;23743;19154;11448;5355;28039;3469;9609;11640;5482
1;Calle 53;22642;24817;17578;11905;5520;30497;4003;9519;10472;5212
1;Calle 54;21967;22781;20688;10924;4833;26282;4361;9407;9230;5612
1;Calle 55;20426;23011;20736;11356;4805;31567;3802;10575;13392;4927
1;Calle 56;23197;25131;16943;11765;4552;25999;4000;9583;10960;4970
1;Calle 57;21063;21506;21170;11612;5192;28904;4206;8999;11443;5271
1;Calle 58;16793;23348;18396;15374;5321;30192;3825;10426;12314;4980
1;Calle 59;15468;23378;18096;11278;5401;28518;3269;9236;11231;5417
1;Calle 60;21870;20896;22571;11947;5263;29865;4068;9966;11783;6179
1;Calle 61;22774;25599;20713;11232;5336;28256;3835;10277;11150;5383
1;Calle 62;15962;24403;19814;9588;4953;29244;4153;8562;10862;4724
1;Calle 63;20078;25985;11806;10915;5732;20451;3803;9100;9404;5243
1;Calle 64;20608;23749;19981;10186;5053;27073;3770;9484;11377;5266
1;Calle 65;21464;22933;18382;11665;5392;29531;3722;9662;10843;5376
1;Calle 66;22278;23298;21438;11774;6439;27838;3950;9447;11352;5346
1;Calle 67;20741;27147;19019;12563;4794;29538;3715;8747;10822;5515
1;Calle 68;19719;22684;19934;12313;6371;32818;4521;9447;12239;4068
1;Calle 69;20853;17650;19258;12008;5195;33812;4283;8154;11163;4880
1;Calle 70;22089;25294;19857;9396;5052;32691;4091;9491;11317;5226
1;Calle 71;23578;24819;21266;13272;4944;31335;3992;8777;12244;5084
1;Calle 72;19969;23735;19799;11286;4839;31968;3831;10003;13697;5368
1;Calle 73;19912;24096;20942;11251;5106;29382;4161;11073;11578;5136
1;Calle 74;22381;24640;18267;11473;5535;31595;3795;10411;9620;6385
